0, 2024-05-09 20:57:22
0, 2024-05-09 20:57:23
0, 2024-05-09 20:57:23
0, 2024-05-09 20:57:24
0, 2024-05-09 20:57:25
1, 2024-05-09 20:57:26
1, 2024-05-09 20:57:26
1, 2024-05-09 20:57:27
1, 2024-05-09 20:57:28
1, 2024-05-09 20:57:28
1, 2024-05-09 20:57:29
1, 2024-05-09 20:57:30
0, 2024-05-09 20:57:31
0, 2024-05-09 20:57:33
0, 2024-05-09 20:57:34
0, 2024-05-09 20:57:34
0, 2024-05-09 20:57:35
0, 2024-05-09 20:57:36
0, 2024-05-09 20:57:37
0, 2024-05-09 20:57:38
1, 2024-05-09 20:57:38
5, 2024-05-09 20:57:39
10, 2024-05-09 20:57:40
300, 2024-05-09 20:57:41
20, 2024-05-09 20:57:41
27, 2024-05-09 20:57:42
10, 2024-05-09 20:57:43
30, 2024-05-09 20:57:43
500, 2024-05-09 20:57:44
27, 2024-05-09 20:57:45
27, 2024-05-09 20:57:46
27, 2024-05-09 20:57:46
300, 2024-05-09 20:57:46
