timestamp,cpu_usage
2024-05-07 19:00:00,30.5
2024-05-07 19:01:00,29.8
2024-05-07 19:02:00,28.9
2024-05-07 19:03:00,31.2
2024-05-07 19:04:00,32.1
2024-05-07 19:05:00,30.4
2024-05-07 19:06:00,29.9
2024-05-07 19:07:00,28.5
2024-05-07 19:08:00,27.8
2024-05-07 19:09:00,28.9
2024-05-07 19:10:00,30.5
2024-05-07 19:11:00,32.4
2024-05-07 19:12:00,34.2
2024-05-07 19:13:00,33.8
2024-05-07 19:14:00,32.5
2024-05-07 19:15:00,31.0
2024-05-07 19:16:00,30.2
2024-05-07 19:17:00,28.5
2024-05-07 19:18:00,27.6
2024-05-07 19:19:00,29.4
2024-05-07 19:20:00,30.2
2024-05-07 19:21:00,31.8
2024-05-07 19:22:00,33.4
2024-05-07 19:23:00,35.5
2024-05-07 19:24:00,36.8
2024-05-07 19:25:00,34.2
2024-05-07 19:26:00,32.9
2024-05-07 19:27:00,33.7
2024-05-07 19:28:00,34.5
2024-05-07 19:29:00,36.1
